Country,Airports
LT,38
DZ,56
MM,76
CI,23
TC,7
AZ,35
PM,2
SC,16
FI,105
UA,137
RO,24
KI,20
ZM,74
SL,10
NL,78
SB,33
LA,19
BS,62
BW,34
MN,22
PL,168
AM,13
RE,2
PS,5
MK,13
PF,49
MX,173
GL,80
TV,1
EE,25
VG,3
SM,2
CN,305
UM,6
AT,134
IQ,75
NA,220
RU,910
CG,49
AD,1
LI,1
HR,32
SV,27
CZ,144
NP,42
VA,1
SO,19
PT,67
GG,2
PG,253
CX,1
KY,3
GH,8
CV,10
BN,2
HK,9
LR,12
TW,31
BD,14
PY,46
LB,4
CL,464
TO,6
LY,55
FK,13
ID,297
SA,75
PK,125
AU,1725
BM,3
CA,2394
BL,1
MW,29
UZ,174
NE,23
GB,452
MT,2
YE,24
BR,3799
KZ,104
BY,30
HN,153
NC,21
GT,49
MD,8
AW,1
GN,14
DE,548
IO,1
BH,2
ES,170
EC,89
IR,132
NR,1
MO,1
VI,8
IL,28
VE,592
MR,20
TR,118
ME,7
ZA,432
CR,123
SX,1
AI,1
GU,3
KR,186
TZ,68
US,21403
AQ,22
RS,18
MS,2
AL,8
MY,102
IN,314
CK,9
JM,17
LC,2
GM,1
MQ,1
AE,29
CM,26
RW,7
TG,7
FR,782
GF,10
MG,69
CC,1
CH,75
TN,15
GQ,2
NU,1
TL,11
WF,2
GR,73
GI,1
PA,58
TD,21
SD,30
AG,3
MC,1
DJ,9
BA,11
JO,17
ET,44
SG,8
KP,65
BF,49
CU,134
GW,5
IT,154
FO,8
MV,7
SE,177
BG,74
FJ,26
PH,99
WS,4
GE,27
SK,21
FM,6
MH,30
CW,1
LV,20
PE,162
MU,3
LS,33
GD,3
MZ,33
DM,2
KM,4
BZ,18
QA,4
DO,37
TH,66
BI,3
EG,69
SH,1
BJ,9
MF,1
GY,32
JP,141
TM,21
VC,5
ZW,82
SN,14
NZ,199
OM,24
LK,16
BT,2
KN,2
HU,55
KE,239
SI,23
CY,11
ML,31
GP,6
HT,8
UG,15
KW,8
IE,46
VU,32
GA,29
AS,4
MA,34
BE,117
KS,3
KH,11
NI,30
KG,50
TT,3
BO,181
SY,24
NO,159
ER,5
CO,700
IM,2
SS,24
UY,20
NG,37
TF,3
YT,1
JE,1
CF,35
AR,699
PW,3
PR,62
SZ,16
LU,9
NF,1
EH,3
VN,34
IS,83
MP,11
AF,62
BQ,3
BB,2
SR,21
CD,266
TJ,15
DK,70
AO,55
ST,2
